NO,부품품번,부품등급_금액,부품등급_단가,부품등급_수량,4개월금액,단가,4개월수량,입고거래처,출고거래처,단위,구 분,1/1,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,1/12,1/13,1/14,1/15,1/16,1/17,1/18,1/19,1/20,1/21,1/22,1/23,1/24,1/25,1/26,1/27,1/28,1/29,1/30,1/31,2/1,2/2,2/3,2/4,2/5,2/6,2/7,2/8,2/9,2/10,2/11,2/12,2/13,2/14,2/15,2/16,2/17,2/18,2/19,2/20,2/21,2/22,2/23,2/24,2/25,2/26,2/27,2/28,3/1,3/2,3/3,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,3/12,3/13,3/14,3/15,3/16,3/17,3/18,3/19,3/20,3/21,3/22,3/23,3/24,3/25,3/26,3/27,3/28,3/29,3/30,3/31,4/1,4/2,4/3,4/4,4/5,4/6,4/7,4/8,4/9,4/10,4/11,4/12,4/13,4/14,4/15,4/16,4/17,4/18,4/19,4/20,4/21,4/22,4/23,4/24,4/25,4/26,4/27,4/28,4/29,4/30
1,ABQ30311803,A,A,B,5754768690,260279,22110,,,EA,입고,450.0,,,450.0,540.0,,580.0,,,,,,577.0,,800.0,,,600.0,,,,,,,,450.0,,560.0,560.0,,,560.0,560.0,560.0,,240.0,,,450.0,295.0,,,,,,,,,,,,,,,,,560.0,,,,450.0,,450.0,560.0,,,450.0,450.0,,,,,,480.0,300.0,480.0,,,,,480.0,800.0,315.0,365.0,360.0,,,480.0,480.0,,324.0,335.0,,,167.0,572.0,700.0,240.0,,,,,600.0,530.0,,700.0,,,450.0,600.0,600.0,600.0,,,,,,,,
1,ABQ30311803,A,A,B,5754768690,260279,22110,,,EA,생산,0.0,450.0,0.0,0.0,450.0,540.0,0.0,580.0,0.0,0.0,0.0,0.0,0.0,577.0,0.0,800.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,560.0,560.0,0.0,0.0,560.0,560.0,560.0,0.0,240.0,0.0,0.0,450.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,0.0,450.0,0.0,450.0,560.0,0.0,0.0,450.0,450.0,0.0,0.0,0.0,0.0,0.0,480.0,300.0,480.0,0.0,0.0,0.0,0.0,480.0,800.0,315.0,365.0,360.0,0.0,0.0,480.0,480.0,0.0,324.0,335.0,0.0,0.0,167.0,572.0,700.0,240.0,0.0,0.0,0.0,0.0,600.0,530.0,0.0,700.0,0.0,0.0,450.0,600.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ABQ30311803,A,A,B,5754768690,260279,22110,,,EA,결품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ABQ30311803,A,A,B,5754768690,260279,22110,,,EA,불량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ABQ30311803,A,A,B,5754768690,260279,22110,,,EA,발주예측,,450.0,540.0,,580.0,,,,,,577.0,,800.0,,,600.0,,,,,,,,450.0,,560.0,560.0,,,560.0,560.0,560.0,,240.0,,,450.0,295.0,,,,,,,,,,,,,,,,,560.0,,,,450.0,,450.0,560.0,,,450.0,450.0,,,,,,480.0,300.0,480.0,,,,,480.0,800.0,315.0,365.0,360.0,,,480.0,480.0,,324.0,335.0,,,167.0,572.0,700.0,240.0,,,,,600.0,530.0,,700.0,,,450.0,600.0,600.0,600.0,,,,,,,,,,
1,ABQ30311803,A,A,B,5754768690,260279,22110,,,EA,재고계획,2081.0,1631.0,1631.0,2081.0,2171.0,1631.0,2211.0,1631.0,1631.0,1631.0,1631.0,1631.0,2208.0,1631.0,2431.0,1631.0,1631.0,2231.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,2081.0,1631.0,2191.0,2191.0,1631.0,1631.0,2191.0,2191.0,2191.0,1631.0,1871.0,1631.0,1631.0,2081.0,1926.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,2191.0,1631.0,1631.0,1631.0,2081.0,1631.0,2081.0,2191.0,1631.0,1631.0,2081.0,2081.0,1631.0,1631.0,1631.0,1631.0,1631.0,2111.0,1931.0,2111.0,1631.0,1631.0,1631.0,1631.0,2111.0,2431.0,1946.0,1996.0,1991.0,1631.0,1631.0,2111.0,2111.0,1631.0,1955.0,1966.0,1631.0,1631.0,1798.0,2203.0,2331.0,1871.0,1631.0,1631.0,1631.0,1631.0,2231.0,2161.0,1631.0,2331.0,1631.0,1631.0,2081.0,2231.0,2231.0,2231.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0
1,ABQ30311803,A,A,B,5754768690,260279,22110,,,EA,재고,2081.0,1631.0,1631.0,2081.0,2171.0,1631.0,2211.0,1631.0,1631.0,1631.0,1631.0,1631.0,2208.0,1631.0,2431.0,1631.0,1631.0,2231.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,2081.0,1631.0,2191.0,2191.0,1631.0,1631.0,2191.0,2191.0,2191.0,1631.0,1871.0,1631.0,1631.0,2081.0,1926.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,2191.0,1631.0,1631.0,1631.0,2081.0,1631.0,2081.0,2191.0,1631.0,1631.0,2081.0,2081.0,1631.0,1631.0,1631.0,1631.0,1631.0,2111.0,1931.0,2111.0,1631.0,1631.0,1631.0,1631.0,2111.0,2431.0,1946.0,1996.0,1991.0,1631.0,1631.0,2111.0,2111.0,1631.0,1955.0,1966.0,1631.0,1631.0,1798.0,2203.0,2331.0,1871.0,1631.0,1631.0,1631.0,1631.0,2231.0,2161.0,1631.0,2331.0,1631.0,1631.0,2081.0,2231.0,2231.0,2231.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0,1631.0
1,ABQ30311803,A,A,B,5754768690,260279,22110,,,EA,안전재고,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0
2,ADL76774202,A,A,A,1714320960,77536,22110,,,EA,입고,480.0,,,480.0,576.0,,672.0,,,,,,672.0,,864.0,,,672.0,,,,,,,,480.0,,576.0,576.0,,,576.0,576.0,576.0,,288.0,,,480.0,384.0,,,,,,,,,,,,,,,,,576.0,,,,480.0,,480.0,576.0,,,480.0,480.0,,,,,,480.0,384.0,480.0,,,,,480.0,864.0,384.0,384.0,384.0,,,480.0,480.0,,384.0,384.0,,,192.0,576.0,768.0,288.0,,,,,672.0,576.0,,768.0,,,480.0,672.0,672.0,672.0,,,,,,,,
2,ADL76774202,A,A,A,1714320960,77536,22110,,,EA,생산,0.0,450.0,0.0,0.0,450.0,540.0,0.0,580.0,0.0,0.0,0.0,0.0,0.0,577.0,0.0,800.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,560.0,560.0,0.0,0.0,560.0,560.0,560.0,0.0,240.0,0.0,0.0,450.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,0.0,450.0,0.0,450.0,560.0,0.0,0.0,450.0,450.0,0.0,0.0,0.0,0.0,0.0,480.0,300.0,480.0,0.0,0.0,0.0,0.0,480.0,800.0,315.0,365.0,360.0,0.0,0.0,480.0,480.0,0.0,324.0,335.0,0.0,0.0,167.0,572.0,700.0,240.0,0.0,0.0,0.0,0.0,600.0,530.0,0.0,700.0,0.0,0.0,450.0,600.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
